"","x"
"117",2008-02-12 14:45:00
"118",2008-05-17 19:20:00
"119",2008-05-28 21:15:00
"120",2008-12-08 03:45:00
"121",2008-08-25 15:00:00
"122",2008-12-21 11:40:00
"123",2008-01-23 13:15:00
"124",2008-04-22 12:02:00
"125",2008-07-29 17:00:00
"126",2008-08-02 22:30:00
"127",2008-09-04 09:00:00
"128",2008-11-16 01:15:00
"129",2008-02-04 18:14:00
"130",2008-03-13 08:00:00
"131",2008-08-31 14:53:00
"132",2008-11-16 01:15:00
"133",2008-05-15 19:25:00
"134",2008-10-08 15:40:00
"135",2008-10-08 15:40:00
"136",2008-07-18 22:35:00
"137",2008-02-27 17:00:00
"138",2008-04-10 19:53:00
"139",2008-04-05 14:32:00
"140",2008-09-18 19:30:00
"141",2008-11-10 15:08:00
"142",2008-10-23 08:15:00
"143",2008-01-30 15:45:00
"144",2008-09-24 20:01:00
"145",2008-03-11 19:15:00
"146",2008-01-20 15:00:00
"147",2008-02-07 22:40:00
"148",2008-05-16 14:55:00
"149",2008-06-20 07:15:00
"150",2008-06-26 19:49:00
"151",2008-03-02 18:55:00
"152",2008-09-05 07:15:00
"153",2008-03-09 15:17:00
"154",2008-05-06 08:40:00
"155",2008-10-21 15:17:00
"156",2008-05-22 18:30:00
"157",2008-10-01 04:00:00
"158",2008-03-29 17:15:00
"159",2008-01-15 18:20:00
"160",2008-10-23 17:40:00
"161",2008-06-12 11:20:00
"162",2008-07-31 06:30:00
"163",2008-01-25 09:30:00
"164",2008-08-30 19:00:00
"165",2008-09-28 21:30:00
"166",2008-02-12 22:23:00
"167",2008-04-19 10:45:00
"168",2008-04-02 22:30:00
"169",2008-11-13 19:10:00
"170",2008-08-03 00:25:00
"171",2008-08-23 16:47:00
"172",2008-01-04 08:15:00
"173",2008-01-08 16:58:00
"174",2008-01-12 17:11:00
"175",2008-07-20 11:19:00
"176",2008-01-18 09:02:00
"177",2008-04-22 08:15:00
"178",2008-01-23 10:50:00
"179",2008-05-21 22:00:00
"180",2008-10-14 15:20:00
"181",2008-07-31 18:20:00
"182",2008-05-22 11:20:00
"183",2008-01-15 16:35:00
"184",2008-03-07 19:03:00
"185",2008-04-13 20:00:00
"186",2008-07-29 22:00:00
"187",2008-01-10 15:07:00
"188",2008-01-03 19:17:00
"189",2008-05-26 15:30:00
"190",2008-03-10 13:20:00
"191",2008-01-16 12:00:00
"192",2008-10-18 10:46:00
"193",2008-10-24 08:10:00
"194",2008-12-11 18:15:00
"195",2008-10-01 18:15:00
"196",2008-10-30 13:15:00
"197",2008-09-24 10:34:00
"198",2008-09-23 09:00:00
"199",2008-01-11 07:50:00
"200",2008-12-08 17:30:00
"201",2008-01-13 14:10:00
"202",2008-08-19 08:45:00
"203",2008-11-17 20:40:00
"204",2008-01-16 08:00:00
"205",2008-11-06 14:10:00
"206",2008-03-20 11:02:00
"207",2008-06-11 17:50:00
"208",2008-12-18 16:28:00
"209",2008-05-16 21:00:00
"210",2008-09-05 09:30:00
"211",2008-05-26 18:20:00
"212",2008-08-15 23:03:00
"213",2008-03-17 14:40:00
"214",2008-02-28 18:40:00
"215",2008-10-02 07:35:00
"216",2008-03-06 22:45:00
"217",2008-12-17 18:30:00
"218",2008-06-21 08:10:00
"219",2008-09-09 08:30:00
"220",2008-09-07 15:25:00
"221",2008-06-10 19:10:00
"222",2008-03-14 18:40:00
"223",2008-10-11 16:20:00
"224",2008-08-02 11:41:00
"225",2008-08-14 15:49:00
"226",2008-03-13 15:51:00
"227",2008-11-24 23:15:00
"228",2008-10-11 01:55:00
"229",2008-03-08 05:58:00
"230",2008-04-01 08:00:00
"231",2008-02-29 21:10:00
"232",2008-10-17 19:30:00
"233",2008-04-14 20:20:00
"234",2008-07-11 10:00:00
"235",2008-11-02 10:32:00
"236",2008-12-17 10:54:00
"237",2008-03-01 10:40:00
"238",2008-04-30 21:40:00
"239",2008-06-13 20:07:00
"240",2008-07-18 07:00:00
"241",2008-01-25 20:08:00
"242",2008-11-01 13:30:00
"243",2008-01-18 20:50:00
"244",2008-07-15 17:54:00
"245",2008-04-24 13:35:00
"246",2008-03-19 19:05:00
"247",2008-12-14 04:10:00
"248",2008-11-06 08:20:00
"249",2008-01-30 15:20:00
"250",2008-04-10 07:57:00
"251",2008-11-13 17:30:00
"252",2008-04-17 13:05:00
"253",2008-05-31 13:30:00
"254",2008-08-20 13:30:00
"255",2008-02-01 20:40:00
"256",2008-01-15 17:00:00
"257",2008-08-25 10:20:00
"258",2008-04-12 22:27:00
"259",2008-09-09 09:28:00
"260",2008-10-28 18:35:00
"261",2008-11-20 19:30:00
"262",2008-04-10 14:20:00
"263",NA
"264",2008-01-19 12:45:00
"265",2008-01-18 09:02:00
"266",2008-07-11 06:07:00
"267",2008-04-04 12:15:00
"268",2008-02-26 18:27:00
"269",2008-10-27 21:16:00
"270",2008-02-21 18:00:00
"271",2008-07-31 16:10:00
"272",2008-06-14 12:30:00
"273",2008-05-08 16:36:00
"274",2008-03-05 19:45:00
"275",2008-02-11 07:00:00
"276",2008-09-27 04:10:00
"277",2008-03-29 21:00:00
"278",2008-11-17 07:45:00
"279",2008-10-21 17:17:00
"280",2008-04-11 13:10:00
"281",2008-10-25 16:35:00
"282",2008-04-04 17:00:00
"283",2008-03-19 18:50:00
"284",2008-02-04 10:16:00
"285",2008-10-22 16:50:00
"286",2008-02-05 07:49:00
"287",2008-01-30 21:20:00
"288",2008-01-22 19:40:00
"289",2008-04-18 22:11:00
"290",2008-04-07 11:35:00
"291",2008-08-15 14:15:00
"292",2008-06-30 03:10:00
"293",2008-07-31 08:50:00
"294",2008-03-22 10:30:00
"295",2008-11-12 18:24:00
"296",2008-11-05 17:25:00
"297",2008-05-26 18:00:00
"298",2008-01-02 19:50:00
"299",2008-07-29 17:30:00
"300",2008-07-10 20:10:00
"301",2008-01-02 18:23:00
"302",2008-11-05 20:31:00
"303",2008-06-30 03:10:00
"304",2008-04-28 09:05:00
"305",2008-10-25 06:53:00
"306",2008-02-20 08:50:00
"307",2008-07-28 15:00:00
"308",2008-08-05 16:16:00
"309",2008-11-26 19:00:00
"310",2008-10-19 14:55:00
"311",2008-09-26 09:30:00
"312",2008-07-21 15:00:00
"313",2008-07-31 13:04:00
"314",2008-08-29 10:08:00
"315",2008-01-31 17:41:00
"316",2008-05-04 16:00:00
"317",2008-03-24 08:00:00
"318",2008-03-16 00:03:00
"319",2008-12-15 18:05:00
"320",2008-01-13 16:42:00
"321",NA
"322",2008-08-27 13:00:00
"323",2008-10-14 19:02:00
"324",2008-01-30 23:08:00
"325",2008-01-20 17:25:00
"326",2008-10-26 17:55:00
"327",2008-05-14 08:30:00
"328",2008-08-30 23:50:00
"329",2008-05-27 20:02:00
"330",2008-06-12 12:24:00
"331",2008-09-10 18:35:00
"332",2008-03-31 21:10:00
"333",2008-09-17 17:30:00
"334",2008-03-13 18:15:00
"335",2008-07-11 16:05:00
"336",2008-10-12 19:25:00
"337",2008-06-16 12:16:00
"338",2008-07-05 21:30:00
"339",2008-03-24 10:16:00
"340",2008-05-26 15:10:00
"341",2008-08-31 19:09:00
"342",2008-01-25 20:22:00
"343",2008-11-20 14:30:00
"344",2008-07-05 03:15:00
"345",2008-08-28 20:40:00
"346",2008-03-25 13:10:00
"347",2008-04-20 20:40:00
"348",2008-03-19 20:45:00
"349",2008-09-28 00:30:00
"350",2008-11-05 19:00:00
"351",2008-08-02 14:20:00
"352",2008-08-26 18:26:00
"353",2008-07-31 14:24:00
"354",2008-03-19 07:09:00
"355",2008-08-30 21:05:00
"356",2008-02-28 12:36:00
"357",2008-11-22 07:20:00
"358",2008-01-16 10:25:00
"359",2008-04-11 22:30:00
"360",2008-06-21 14:30:00
"361",2008-10-25 21:15:00
"362",2008-07-07 11:54:00
"363",2008-04-23 20:00:00
"364",2008-06-14 17:45:00
"365",2008-09-17 18:17:00
"366",2008-12-04 08:30:00
"367",2008-07-10 12:30:00
"368",2008-04-26 15:20:00
"369",2008-08-30 19:00:00
"370",2008-09-14 11:30:00
"371",2008-02-20 19:15:00
"372",2008-08-12 05:25:00
"373",2008-04-16 16:20:00
"374",2008-01-13 20:30:00
"375",2008-12-04 22:00:00
"376",2008-08-14 19:30:00
"377",2008-06-13 21:51:00
"378",2008-04-10 15:05:00
"379",2008-12-10 20:10:00
"380",2008-11-23 09:43:00
"381",2008-05-09 22:30:00
"382",2008-02-20 11:30:00
"383",2008-09-26 22:10:00
"384",2008-09-05 21:45:00
"385",2008-03-27 16:20:00
"386",2008-11-11 07:30:00
"387",2008-06-14 20:20:00
"388",2008-03-10 08:10:00
"389",2008-10-28 16:16:00
"390",2008-10-02 01:00:00
"391",2008-02-14 06:50:00
"392",2008-09-10 07:00:00
"393",2008-11-15 20:16:00
"394",2008-06-03 08:39:00
"395",2008-01-03 06:52:00
"396",2008-07-23 01:00:00
"397",2008-03-08 12:40:00
"398",2008-02-20 15:30:00
"399",2008-04-16 09:25:00
"400",2008-12-16 10:15:00
"401",2008-06-19 10:05:00
"402",2008-10-02 01:00:00
"403",2008-04-09 13:15:00
"404",2008-06-08 19:50:00
"405",2008-12-10 21:30:00
"406",2008-02-02 19:00:00
"407",2008-09-27 22:56:00
"408",2008-07-16 15:15:00
"409",2008-01-15 15:15:00
"410",2008-05-25 17:45:00
"411",2008-09-08 11:00:00
"412",2008-02-20 10:00:00
"413",2008-12-27 21:36:00
"414",2008-09-09 14:52:00
"415",2008-11-24 22:50:00
"416",2008-04-19 04:45:00
"417",2008-04-07 11:35:00
"418",2008-01-21 13:49:00
"419",2008-06-03 21:55:00
"420",2008-11-30 15:30:00
"421",2008-01-31 14:18:00
"422",2008-01-29 22:30:00
"423",2008-08-09 22:50:00
"424",2008-03-04 13:20:00
"425",2008-11-14 16:50:00
"426",2008-12-03 14:32:00
"427",2008-09-10 00:05:00
"428",2008-03-04 18:00:00
"429",2008-01-08 17:50:00
"430",2008-12-20 22:35:00
"431",2008-02-04 18:33:00
"432",2008-03-18 17:16:00
"433",2008-08-30 20:30:00
"434",2008-01-31 15:27:00
"435",2008-12-11 00:01:00
"436",2008-06-05 15:00:00
"437",2008-10-28 12:05:00
"438",2008-12-10 17:15:00
"439",2008-01-17 18:42:00
"440",2008-04-15 13:14:00
"441",2008-10-29 13:00:00
"442",2008-08-09 14:10:00
"443",2008-01-11 14:40:00
"444",2008-02-22 16:45:00
"445",2008-04-01 11:00:00
"446",2008-06-29 15:00:00
"447",2008-06-22 14:00:00
"448",2008-02-12 10:30:00
"449",2008-03-14 06:25:00
"450",2008-11-16 10:50:00
"451",2008-10-16 20:43:00
"452",2008-12-11 19:45:00
"453",2008-01-24 20:00:00
"454",2008-07-01 20:40:00
"455",2008-10-28 09:00:00
"456",2008-01-23 22:15:00
"457",2008-04-15 13:12:00
"458",2008-11-25 04:30:00
"459",2008-12-29 18:57:00
"460",2008-05-13 00:30:00
"461",2008-04-25 07:39:00
"462",2008-07-25 13:20:00
"463",2008-06-23 10:00:00
"464",2008-05-25 10:00:00
"465",2008-02-27 15:15:00
"466",2008-09-03 18:10:00
"467",2008-12-16 23:10:00
"468",2008-10-08 11:00:00
"469",2008-05-09 07:00:00
"470",2008-10-06 15:35:00
"471",2008-04-16 15:10:00
"472",2008-01-08 16:45:00
"473",2008-06-24 09:57:00
"474",2008-09-30 19:24:00
"475",2008-03-06 08:45:00
"476",2008-06-13 15:22:00
"477",2008-03-04 14:15:00
"478",2008-01-29 11:40:00
"479",2008-08-29 11:13:00
"480",2008-12-08 15:35:00
"481",2008-05-12 16:55:00
"482",2008-03-08 23:15:00
"483",2008-08-25 15:00:00
"484",2008-08-16 16:20:00
"485",2008-07-17 18:25:00
"486",2008-11-21 13:45:00
"487",2008-04-18 14:30:00
"488",2008-12-19 14:20:00
"489",2008-02-04 11:40:00
"490",2008-03-01 03:02:00
"491",2008-05-03 09:25:00
"492",2008-05-13 14:15:00
"493",2008-04-14 20:00:00
"494",2008-06-25 20:20:00
"495",2008-06-07 09:00:00
"496",2008-07-26 20:00:00
"497",2008-07-10 20:10:00
"498",2008-10-07 08:10:00
"499",2008-09-24 20:01:00
"500",2008-06-20 17:07:00
"501",2008-12-11 10:55:00
"502",2008-12-29 08:45:00
"503",2008-07-17 18:50:00
"504",2008-05-11 14:45:00
"505",2008-10-19 21:13:00
"506",2008-10-03 13:50:00
"507",2008-10-11 13:20:00
"508",2008-07-13 14:58:00
"509",2008-07-04 15:15:00
"510",2008-04-04 13:50:00
"511",2008-05-16 20:00:00
"512",2008-03-11 20:50:00
"513",2008-09-14 02:15:00
"514",2008-07-27 15:55:00
"515",2008-06-02 16:00:00
"516",2008-12-10 17:15:00
"517",2008-04-28 16:44:00
"518",2008-03-08 05:58:00
"519",2008-05-09 18:16:00
"520",2008-11-17 11:15:00
"521",2008-03-08 22:36:00
"522",2008-05-21 10:15:00
"523",2008-05-25 17:30:00
"524",2008-04-26 04:45:00
"525",2008-03-07 13:50:00
"526",2008-01-24 15:00:00
"527",2008-11-17 07:59:00
"528",2008-12-11 19:35:00
"529",2008-03-30 19:30:00
"530",2008-11-01 08:10:00
"531",2008-01-02 17:40:00
"532",2008-10-28 13:30:00
"533",2008-05-04 16:40:00
"534",2008-10-17 18:26:00
"535",2008-01-23 08:25:00
"536",2008-02-25 18:30:00
"537",2008-01-31 15:27:00
"538",2008-03-26 16:00:00
"539",2008-11-19 18:30:00
"540",2008-12-27 15:00:00
"541",2008-06-30 19:25:00
"542",2008-06-16 21:49:00
"543",2008-03-19 12:27:00
"544",2008-06-11 12:20:00
"545",2008-04-01 21:38:00
"546",2008-10-17 16:10:00
"547",2008-10-24 08:30:00
"548",2008-01-04 09:10:00
"549",2008-11-13 20:00:00
"550",2008-01-23 14:45:00
"551",2008-10-10 14:35:00
"552",2008-04-14 08:50:00
"553",2008-01-29 19:45:00
"554",2008-05-26 18:20:00
"555",2008-05-24 21:30:00
"556",2008-11-15 22:11:00
"557",2008-01-03 19:10:00
"558",2008-02-11 07:00:00
"559",2008-11-10 21:32:00
"560",2008-12-26 18:00:00
"561",2008-02-01 20:00:00
"562",2008-12-07 15:20:00
"563",2008-11-13 19:20:00
"564",2008-11-21 03:50:00
"565",2008-09-19 15:10:00
"566",2008-09-10 07:00:00
"567",2008-11-12 07:45:00
"568",2008-05-28 14:10:00
"569",2008-10-01 17:47:00
"570",2008-01-10 15:18:00
"571",2008-04-08 17:20:00
"572",2008-04-07 11:35:00
"573",2008-05-21 21:57:00
"574",2008-06-01 12:00:00
"575",2008-04-19 16:20:00
"576",2008-01-07 19:30:00
"577",2008-11-09 12:35:00
"578",2008-11-25 08:00:00
"579",2008-06-23 18:30:00
"580",2008-09-30 11:51:00
"581",2008-01-30 08:15:00
"582",2008-07-19 20:50:00
"583",2008-12-04 17:30:00
"584",2008-11-07 20:15:00
"585",2008-07-26 02:12:00
"586",2008-05-10 14:40:00
"587",2008-04-30 16:30:00
"588",2008-10-25 21:09:00
"589",2008-06-25 10:35:00
"590",2008-11-30 16:15:00
"591",2008-01-26 18:50:00
"592",2008-02-01 18:30:00
"593",2008-10-01 07:48:00
"594",2008-05-16 17:00:00
"595",2008-08-12 05:25:00
"596",2008-08-17 11:00:00
"597",2008-12-23 21:55:00
"598",2008-11-10 22:00:00
"599",2008-02-08 16:30:00
"600",2008-02-11 08:08:00
"601",2008-02-06 08:25:00
"602",2008-06-17 09:00:00
"603",2008-03-06 16:26:00
"604",2008-05-01 11:01:00
"605",2008-07-03 11:30:00
"606",2008-12-24 23:00:00
"607",2008-11-10 19:15:00
"608",2008-07-30 17:20:00
"609",2008-05-16 13:05:00
"610",2008-05-17 22:00:00
"611",2008-10-20 09:15:00
"612",2008-06-24 07:58:00
"613",2008-05-02 08:05:00
"614",2008-12-20 17:05:00
"615",2008-01-19 18:35:00
"616",2008-01-05 14:10:00
"617",2008-10-11 03:01:00
"618",2008-03-24 08:00:00
"619",2008-03-12 10:50:00
"620",2008-04-23 16:25:00
"621",2008-05-22 10:15:00
"622",2008-03-25 11:10:00
"623",2008-03-01 19:00:00
"624",2008-10-06 14:25:00
"625",2008-01-08 07:19:00
"626",2008-09-04 15:10:00
"627",2008-05-15 12:45:00
"628",2008-09-03 19:30:00
"629",2008-07-26 22:04:00
"630",2008-02-21 07:05:00
"631",2008-11-05 15:45:00
"632",2008-03-03 17:30:00
"633",2008-08-02 11:45:00
"634",2008-07-27 14:55:00
"635",2008-03-06 08:12:00
"636",2008-06-14 08:15:00
"637",2008-11-06 19:25:00
"638",2008-12-31 12:20:00
"639",2008-12-08 17:30:00
"640",2008-01-22 19:45:00
"641",2008-10-16 15:20:00
"642",2008-01-12 19:51:00
"643",2008-05-05 08:15:00
"644",2008-02-12 14:45:00
"645",2008-09-11 11:00:00
"646",2008-01-08 17:15:00
"647",2008-01-14 09:00:00
"648",2008-03-15 22:59:00
"649",2008-11-10 15:00:00
"650",2008-04-30 16:45:00
"651",2008-12-11 16:58:00
"652",2008-11-16 01:15:00
"653",2008-09-15 06:00:00
"654",2008-10-28 18:40:00
"655",2008-08-05 17:33:00
"656",2008-04-06 01:20:00
"657",2008-01-25 18:15:00
"658",2008-09-28 01:48:00
"659",2008-04-01 21:00:00
"660",2008-09-30 11:31:00
"661",2008-08-03 00:25:00
"662",2008-03-18 09:30:00
"663",2008-07-21 12:15:00
"664",2008-03-10 08:00:00
"665",2008-12-12 12:35:00
"666",2008-02-19 15:21:00
"667",2008-03-05 16:25:00
"668",2008-09-24 01:20:00
"669",2008-01-12 11:37:00
"670",2008-09-06 21:30:00
"671",2008-05-01 21:40:00
"672",2008-02-22 18:30:00
"673",2008-02-29 22:50:00
"674",2008-01-03 12:30:00
"675",2008-12-17 21:57:00
"676",2008-02-13 09:34:00
"677",2008-11-17 07:59:00
"678",2008-07-29 21:00:00
"679",2008-04-19 15:25:00
"680",2008-10-27 16:18:00
"681",2008-07-11 12:20:00
"682",2008-05-03 11:00:00
"683",2008-02-26 18:11:00
"684",2008-05-11 16:45:00
"685",2008-09-12 16:00:00
"686",2008-02-18 20:10:00
"687",2008-05-01 14:10:00
"688",2008-04-25 19:15:00
"689",2008-10-23 15:57:00
"690",2008-10-08 22:20:00
"691",2008-05-11 08:47:00
"692",2008-06-29 17:07:00
"693",2008-05-22 10:30:00
"694",2008-08-09 16:51:00
"695",2008-10-13 14:15:00
"696",2008-07-12 07:10:00
"697",2008-08-26 18:13:00
"698",2008-10-03 15:22:00
"699",2008-07-14 17:35:00
"700",2008-01-17 09:00:00
"701",2008-09-17 08:35:00
"702",2008-01-17 13:00:00
"703",2008-10-03 09:00:00
"704",2008-08-18 18:00:00
"705",2008-06-22 13:35:00
"706",2008-07-15 16:40:00
"707",2008-12-24 10:15:00
"708",2008-06-11 12:31:00
"709",2008-10-11 13:20:00
"710",2008-07-25 15:45:00
"711",2008-02-05 21:15:00
"712",2008-01-23 16:15:00
"713",2008-10-28 18:35:00
"714",2008-10-06 15:10:00
"715",2008-02-25 16:00:00
"716",2008-04-03 18:40:00
"717",2008-05-25 19:43:00
"718",2008-10-13 10:04:00
"719",2008-08-03 00:25:00
"720",2008-04-14 08:11:00
"721",2008-04-11 18:54:00
"722",2008-09-26 17:40:00
"723",2008-06-30 21:30:00
"724",2008-06-19 16:01:00
"725",2008-10-10 10:56:00
"726",2008-12-19 11:15:00
"727",2008-02-08 19:54:00
"728",2008-10-08 08:35:00
"729",2008-08-16 18:20:00
"730",2008-08-06 11:58:00
"731",2008-08-20 19:10:00
"732",2008-02-29 23:55:00
"733",2008-01-13 21:03:00
"734",2008-12-23 08:30:00
"735",2008-10-11 12:21:00
"736",2008-01-24 13:20:00
"737",2008-12-04 08:30:00
"738",2008-01-10 15:20:00
"739",2008-12-22 22:05:00
"740",2008-04-24 23:00:00
"741",2008-03-07 06:25:00
"742",2008-12-09 17:16:00
"743",2008-03-28 14:25:00
"744",2008-06-02 19:56:00
"745",2008-10-09 10:30:00
"746",2008-11-09 01:22:00
"747",2008-12-05 19:00:00
"748",2008-05-23 23:05:00
"749",2008-06-26 09:45:00
"750",2008-01-07 14:20:00
"751",2008-09-11 15:22:00
"752",2008-09-02 16:00:00
"753",2008-06-29 17:03:00
"754",2008-06-12 15:57:00
"755",2008-12-09 17:00:00
"756",2008-10-31 18:45:00
"757",2008-02-29 12:40:00
"758",2008-08-23 00:30:00
"759",2008-10-15 19:00:00
"760",2008-05-14 08:30:00
"761",2008-12-24 00:01:00
"762",2008-12-31 09:40:00
"763",2008-03-06 13:40:00
"764",2008-09-22 09:00:00
"765",2008-01-27 11:42:00
"766",2008-12-05 18:00:00
"767",2008-10-25 18:30:00
"768",2008-04-28 12:10:00
"769",2008-01-09 17:25:00
"770",2008-10-10 13:07:00
"771",2008-06-09 06:40:00
"772",2008-05-28 14:30:00
"773",2008-01-14 19:55:00
"774",2008-11-15 20:24:00
"775",2008-12-04 21:40:00
"776",2008-03-14 18:10:00
"777",2008-09-27 13:55:00
"778",2008-04-08 15:00:00
"779",2008-01-12 19:30:00
"780",2008-12-11 06:41:00
"781",2008-07-05 14:50:00
"782",2008-11-04 13:30:00
"783",2008-08-15 11:00:00
"784",2008-06-05 11:30:00
"785",2008-04-11 23:40:00
"786",2008-11-21 15:35:00
"787",2008-01-02 11:42:00
"788",2008-06-04 23:00:00
"789",2008-09-26 09:30:00
"790",2008-12-04 18:00:00
"791",2008-07-23 02:45:00
"792",2008-06-10 09:20:00
"793",2008-05-24 18:47:00
"794",2008-08-31 08:40:00
"795",2008-11-20 17:30:00
"796",2008-10-16 19:05:00
"797",2008-09-10 18:00:00
"798",2008-05-02 17:10:00
"799",2008-12-11 16:00:00
"800",2008-10-28 18:35:00
"801",2008-02-27 04:53:00
"802",2008-03-14 21:21:00
"803",2008-04-23 16:48:00
"804",2008-03-25 09:15:00
"805",2008-04-20 00:44:00
"806",2008-01-05 15:11:00
"807",2008-03-08 09:00:00
"808",2008-02-16 11:00:00
"809",2008-06-02 12:54:00
"810",2008-11-22 10:10:00
"811",2008-08-08 10:35:00
"812",2008-11-14 21:00:00
"813",2008-08-08 10:00:00
"814",2008-10-07 12:20:00
"815",2008-03-29 18:55:00
"816",2008-11-04 13:10:00
"817",2008-12-17 18:50:00
"818",2008-04-07 11:35:00
"819",2008-01-31 17:04:00
"820",2008-11-05 16:30:00
"821",2008-12-31 23:00:00
"822",2008-02-19 10:15:00
"823",2008-03-08 09:30:00
"824",2008-08-06 14:21:00
"825",2008-07-22 16:24:00
"826",2008-09-07 14:00:00
"827",2008-12-29 20:00:00
"828",NA
"829",2008-02-07 07:59:00
"830",2008-05-11 21:30:00
"831",2008-02-19 14:50:00
"832",2008-05-23 07:30:00
"833",2008-09-19 15:00:00
"834",2008-06-20 13:00:00
"835",2008-10-12 10:28:00
"836",2008-08-08 09:00:00
"837",2008-08-18 13:21:00
"838",2008-04-15 08:31:00
"839",2008-01-18 15:25:00
"840",2008-06-12 07:45:00
"841",2008-12-03 07:37:00
"842",2008-05-24 08:13:00
"843",2008-03-24 11:30:00
"844",2008-04-06 01:16:00
"845",2008-03-07 13:50:00
"846",2008-04-07 20:30:00
"847",2008-09-19 21:15:00
"848",2008-10-11 16:20:00
"849",2008-02-01 18:01:00
"850",2008-05-29 16:00:00
"851",2008-08-12 08:30:00
"852",2008-06-12 23:45:00
"853",2008-02-11 07:20:00
"854",2008-10-25 22:30:00
"855",2008-01-25 07:59:00
"856",2008-06-21 00:30:00
"857",2008-01-31 13:15:00
"858",2008-09-11 22:00:00
"859",2008-02-28 14:03:00
"860",2008-05-06 10:35:00
"861",2008-03-07 21:47:00
"862",2008-12-11 14:14:00
"863",2008-12-05 10:20:00
"864",2008-03-06 08:12:00
"865",2008-03-28 12:45:00
"866",2008-10-20 15:23:00
"867",2008-01-20 23:30:00
"868",2008-11-01 18:10:00
"869",2008-10-18 19:50:00
"870",2008-08-25 15:00:00
"871",2008-11-17 11:20:00
"872",2008-04-17 13:05:00
"873",2008-10-01 15:40:00
"874",2008-05-21 04:45:00
"875",2008-02-05 16:00:00
"876",2008-04-23 20:00:00
